State,District,Date,Year,Avg_rainfall,,,,,,
Andhra Pradesh,Anantapur,7/1/2023,2023,0.1,,,,,Row Labels,Sum of Avg_rainfall
Andhra Pradesh,Anantapur,7/2/2023,2023,0.68,,,,,Andhra Pradesh,62.45
Andhra Pradesh,Anantapur,7/3/2023,2023,2.43,,,,,Anantapur,3.21
Andhra Pradesh,Chittoor,7/1/2023,2023,0.18,,,,,7/1/2023,0.1
Andhra Pradesh,Chittoor,7/2/2023,2023,1.15,,,,,7/2/2023,0.68
Andhra Pradesh,Chittoor,7/3/2023,2023,4.95,,,,,7/3/2023,2.43
Andhra Pradesh,East Godavari,7/1/2023,2023,0,,,,,Chittoor,6.28
Andhra Pradesh,East Godavari,7/2/2023,2023,0.01,,,,,7/1/2023,0.18
Andhra Pradesh,East Godavari,7/3/2023,2023,1.08,,,,,7/2/2023,1.15
Andhra Pradesh,Guntur,7/1/2023,2023,0.06,,,,,7/3/2023,4.95
Andhra Pradesh,Guntur,7/2/2023,2023,1.23,,,,,East Godavari,1.09
Andhra Pradesh,Guntur,7/3/2023,2023,2.51,,,,,7/1/2023,0
Andhra Pradesh,Krishna,7/1/2023,2023,0,,,,,7/2/2023,0.01
Andhra Pradesh,Krishna,7/2/2023,2023,0.13,,,,,7/3/2023,1.08
Andhra Pradesh,Krishna,7/3/2023,2023,0.17,,,,,Guntur,3.8
Andhra Pradesh,Kurnool,7/1/2023,2023,0,,,,,7/1/2023,0.06
Andhra Pradesh,Kurnool,7/2/2023,2023,2.32,,,,,7/2/2023,1.23
Andhra Pradesh,Kurnool,7/3/2023,2023,8.3,,,,,7/3/2023,2.51
Andhra Pradesh,Prakasam,7/1/2023,2023,0,,,,,Krishna,0.3
Andhra Pradesh,Prakasam,7/2/2023,2023,0.14,,,,,7/1/2023,0
Andhra Pradesh,Prakasam,7/3/2023,2023,1.78,,,,,7/2/2023,0.13
Andhra Pradesh,SPSR Nellore,7/1/2023,2023,0.04,,,,,7/3/2023,0.17
Andhra Pradesh,SPSR Nellore,7/2/2023,2023,1.63,,,,,Kurnool,10.62
Andhra Pradesh,SPSR Nellore,7/3/2023,2023,2.27,,,,,7/1/2023,0
Andhra Pradesh,Srikakulam,7/1/2023,2023,0,,,,,7/2/2023,2.32
Andhra Pradesh,Srikakulam,7/2/2023,2023,5.05,,,,,7/3/2023,8.3
Andhra Pradesh,Srikakulam,7/3/2023,2023,1,,,,,Prakasam,1.92
Andhra Pradesh,Visakhapatanam,7/1/2023,2023,0.01,,,,,7/1/2023,0
Andhra Pradesh,Visakhapatanam,7/2/2023,2023,1.6,,,,,7/2/2023,0.14
Andhra Pradesh,Visakhapatanam,7/3/2023,2023,5.84,,,,,7/3/2023,1.78
Andhra Pradesh,Vizianagaram,7/1/2023,2023,0,,,,,SPSR Nellore,3.94
Andhra Pradesh,Vizianagaram,7/2/2023,2023,2.31,,,,,7/1/2023,0.04
Andhra Pradesh,Vizianagaram,7/3/2023,2023,6.85,,,,,7/2/2023,1.63
Andhra Pradesh,West Godavari,7/1/2023,2023,0,,,,,7/3/2023,2.27
Andhra Pradesh,West Godavari,7/2/2023,2023,0.03,,,,,Srikakulam,6.05
Andhra Pradesh,West Godavari,7/3/2023,2023,0.02,,,,,7/1/2023,0
Andhra Pradesh,Y.S.R.,7/1/2023,2023,0.05,,,,,7/2/2023,5.05
Andhra Pradesh,Y.S.R.,7/2/2023,2023,2.58,,,,,7/3/2023,1
Andhra Pradesh,Y.S.R.,7/3/2023,2023,5.95,,,,,Visakhapatanam,7.45
Arunachal Pradesh,Anjaw,7/1/2023,2023,0.22,,,,,7/1/2023,0.01
Arunachal Pradesh,Anjaw,7/2/2023,2023,0.02,,,,,7/2/2023,1.6
Arunachal Pradesh,Anjaw,7/3/2023,2023,0.18,,,,,7/3/2023,5.84
Arunachal Pradesh,Changlang,7/1/2023,2023,0.15,,,,,Vizianagaram,9.16
Arunachal Pradesh,Changlang,7/2/2023,2023,3.61,,,,,7/1/2023,0
Arunachal Pradesh,Changlang,7/3/2023,2023,4.54,,,,,7/2/2023,2.31
Arunachal Pradesh,Dibang Valley,7/1/2023,2023,1.1,,,,,7/3/2023,6.85
Arunachal Pradesh,Dibang Valley,7/2/2023,2023,0.48,,,,,West Godavari,0.05
Arunachal Pradesh,Dibang Valley,7/3/2023,2023,0.44,,,,,7/1/2023,0
Arunachal Pradesh,East Kameng,7/1/2023,2023,2.84,,,,,7/2/2023,0.03
Arunachal Pradesh,East Kameng,7/2/2023,2023,2.17,,,,,7/3/2023,0.02
Arunachal Pradesh,East Kameng,7/3/2023,2023,2.96,,,,,Y.S.R.,8.58
Arunachal Pradesh,East Siang,7/1/2023,2023,13.19,,,,,7/1/2023,0.05
Arunachal Pradesh,East Siang,7/2/2023,2023,6.47,,,,,7/2/2023,2.58
Arunachal Pradesh,East Siang,7/3/2023,2023,3.63,,,,,7/3/2023,5.95
Arunachal Pradesh,Kamle,7/1/2023,2023,3.05,,,,,Arunachal Pradesh,280.54
Arunachal Pradesh,Kamle,7/2/2023,2023,4.34,,,,,Anjaw,0.42
Arunachal Pradesh,Kamle,7/3/2023,2023,3.69,,,,,7/1/2023,0.22
Arunachal Pradesh,Kra Daadi,7/1/2023,2023,1.09,,,,,7/2/2023,0.02
Arunachal Pradesh,Kra Daadi,7/2/2023,2023,1.17,,,,,7/3/2023,0.18
Arunachal Pradesh,Kra Daadi,7/3/2023,2023,0.28,,,,,Changlang,8.3
Arunachal Pradesh,Kurung Kumey,7/1/2023,2023,0.24,,,,,7/1/2023,0.15
Arunachal Pradesh,Kurung Kumey,7/2/2023,2023,1.83,,,,,7/2/2023,3.61
Arunachal Pradesh,Kurung Kumey,7/3/2023,2023,0.07,,,,,7/3/2023,4.54
Arunachal Pradesh,Leparada,7/1/2023,2023,7.1,,,,,Dibang Valley,2.02
Arunachal Pradesh,Leparada,7/2/2023,2023,5.75,,,,,7/1/2023,1.1
Arunachal Pradesh,Leparada,7/3/2023,2023,19.81,,,,,7/2/2023,0.48
Arunachal Pradesh,Lohit,7/1/2023,2023,2.81,,,,,7/3/2023,0.44
Arunachal Pradesh,Lohit,7/2/2023,2023,0.68,,,,,East Kameng,7.97
Arunachal Pradesh,Lohit,7/3/2023,2023,4.52,,,,,7/1/2023,2.84
Arunachal Pradesh,Longding,7/1/2023,2023,6.97,,,,,7/2/2023,2.17
Arunachal Pradesh,Longding,7/2/2023,2023,10.41,,,,,7/3/2023,2.96
